Age,City,Amount,Transaction_Type,Account_Balance,Time,Device,Fraud
56,Chennai,36402,Withdrawal,21625,Afternoon,Mobile,0
69,Mumbai,22328,Shopping,94594,Night,Desktop,0
46,Bangalore,12488,Transfer,50896,Afternoon,Mobile,0
32,Chennai,11419,Shopping,45346,Evening,Desktop,0
60,Hyderabad,6575,Shopping,20896,Morning,Desktop,0
25,Mumbai,31655,Transfer,93161,Night,Desktop,1
38,Chennai,18258,Shopping,88616,Afternoon,Desktop,0
56,Mumbai,14828,Withdrawal,39473,Evening,Desktop,0
36,Mumbai,44874,Transfer,24074,Morning,Desktop,1
40,Delhi,29645,Transfer,90655,Morning,Mobile,0
28,Mumbai,31200,Payment,14369,Afternoon,Laptop,0
28,Delhi,16250,Payment,66694,Morning,Laptop,0
41,Bangalore,33314,Transfer,62667,Evening,Desktop,1
53,Delhi,32976,Transfer,56647,Morning,Mobile,1
57,Hyderabad,3339,Payment,12622,Night,Desktop,0
41,Chennai,38799,Withdrawal,44327,Night,Mobile,0
20,Bangalore,36921,Shopping,13835,Afternoon,Desktop,0
39,Bangalore,30715,Shopping,64076,Evening,Desktop,0
19,Hyderabad,13846,Shopping,22177,Morning,Laptop,0
41,Delhi,21021,Transfer,28723,Morning,Mobile,0
61,Chennai,22845,Withdrawal,30314,Morning,Mobile,0
47,Delhi,1345,Payment,84111,Night,Laptop,1
55,Mumbai,46707,Withdrawal,43685,Evening,Laptop,0
19,Delhi,24953,Withdrawal,77294,Morning,Laptop,0
38,Bangalore,27732,Shopping,96563,Afternoon,Laptop,0
50,Chennai,12956,Payment,76175,Evening,Mobile,0
29,Delhi,5205,Withdrawal,42825,Evening,Mobile,0
39,Chennai,35790,Payment,41003,Morning,Laptop,0
61,Chennai,2613,Transfer,20014,Night,Desktop,0
42,Mumbai,2901,Shopping,56696,Evening,Desktop,0
66,Mumbai,32445,Payment,21417,Afternoon,Desktop,0
44,Bangalore,13995,Transfer,55199,Evening,Desktop,0
59,Hyderabad,39849,Transfer,95133,Night,Mobile,1
45,Chennai,8321,Transfer,50619,Afternoon,Mobile,0
33,Hyderabad,6138,Withdrawal,83824,Night,Mobile,0
32,Bangalore,32131,Withdrawal,25561,Morning,Desktop,0
64,Chennai,15182,Shopping,10447,Evening,Laptop,0
68,Chennai,14748,Shopping,81580,Afternoon,Desktop,0
61,Hyderabad,464,Transfer,86050,Night,Mobile,0
69,Delhi,34668,Shopping,80831,Morning,Desktop,0
20,Mumbai,14210,Withdrawal,33132,Afternoon,Laptop,0
54,Delhi,6058,Shopping,19852,Evening,Laptop,0
68,Hyderabad,9196,Payment,24153,Evening,Desktop,0
24,Mumbai,7536,Withdrawal,67615,Night,Mobile,0
38,Delhi,21277,Transfer,97794,Afternoon,Mobile,0
26,Mumbai,26854,Transfer,44255,Morning,Mobile,0
56,Chennai,24644,Shopping,98854,Morning,Desktop,0
35,Delhi,12738,Withdrawal,72488,Morning,Mobile,0
21,Mumbai,279,Transfer,38421,Night,Desktop,0
42,Mumbai,3973,Transfer,59503,Morning,Mobile,0
31,Mumbai,17670,Withdrawal,81376,Afternoon,Laptop,0
67,Delhi,48323,Withdrawal,47168,Night,Laptop,1
26,Bangalore,17257,Transfer,55675,Evening,Mobile,0
43,Delhi,45665,Shopping,48238,Night,Desktop,0
19,Hyderabad,4560,Shopping,53952,Night,Mobile,0
37,Delhi,48184,Shopping,68823,Night,Desktop,0
45,Mumbai,452,Payment,46649,Afternoon,Laptop,0
64,Chennai,21686,Withdrawal,16339,Evening,Desktop,0
24,Delhi,5444,Transfer,2655,Evening,Mobile,0
61,Delhi,4607,Payment,7519,Night,Laptop,1
25,Mumbai,37698,Shopping,55012,Night,Desktop,0
64,Chennai,44088,Payment,62190,Night,Desktop,0
52,Chennai,32985,Transfer,86650,Afternoon,Laptop,1
31,Hyderabad,16965,Transfer,26690,Afternoon,Mobile,0
34,Delhi,37155,Withdrawal,11428,Morning,Laptop,0
53,Chennai,27313,Shopping,48925,Evening,Mobile,0
67,Chennai,4577,Shopping,74634,Morning,Mobile,0
57,Bangalore,6633,Payment,86617,Morning,Desktop,0
21,Bangalore,49495,Shopping,49474,Night,Mobile,0
19,Chennai,23496,Payment,48296,Afternoon,Mobile,0
23,Hyderabad,12855,Transfer,49243,Morning,Laptop,0
59,Chennai,965,Transfer,79955,Morning,Laptop,0
21,Mumbai,11273,Transfer,70535,Morning,Mobile,0
46,Delhi,38197,Transfer,38177,Night,Desktop,1
35,Hyderabad,33471,Transfer,56821,Night,Laptop,1
43,Mumbai,38624,Payment,59473,Afternoon,Desktop,0
61,Hyderabad,11354,Transfer,52914,Morning,Laptop,0
51,Mumbai,4118,Payment,26102,Morning,Laptop,0
27,Delhi,5292,Transfer,30192,Afternoon,Mobile,0
53,Delhi,2115,Payment,49250,Afternoon,Laptop,0
31,Bangalore,42718,Payment,22260,Afternoon,Laptop,0
48,Mumbai,3480,Payment,68956,Evening,Desktop,0
65,Bangalore,28443,Shopping,24585,Afternoon,Laptop,0
32,Mumbai,3870,Payment,64464,Night,Laptop,1
25,Bangalore,5929,Payment,23425,Evening,Desktop,0
31,Delhi,34481,Transfer,6115,Afternoon,Mobile,1
40,Hyderabad,46015,Payment,37583,Night,Mobile,0
57,Bangalore,15645,Payment,68819,Afternoon,Laptop,0
38,Mumbai,18363,Withdrawal,10105,Afternoon,Laptop,0
33,Mumbai,38240,Shopping,45108,Evening,Desktop,0
62,Delhi,43406,Withdrawal,19692,Night,Mobile,0
35,Mumbai,25775,Transfer,3831,Morning,Mobile,0
64,Chennai,25462,Shopping,51830,Afternoon,Mobile,0
41,Hyderabad,248,Shopping,97892,Evening,Desktop,0
43,Bangalore,1854,Withdrawal,50449,Night,Desktop,0
42,Hyderabad,26845,Shopping,68882,Afternoon,Desktop,0
62,Delhi,7478,Withdrawal,99733,Morning,Laptop,0
58,Bangalore,46459,Payment,38086,Night,Mobile,0
46,Bangalore,20240,Withdrawal,52743,Night,Laptop,1
32,Chennai,9471,Shopping,59118,Evening,Laptop,0
62,Delhi,27099,Shopping,78811,Afternoon,Desktop,0
18,Mumbai,12879,Transfer,8049,Afternoon,Mobile,0
42,Chennai,31175,Transfer,52994,Night,Laptop,1
24,Chennai,30797,Transfer,88473,Afternoon,Mobile,1
26,Hyderabad,9895,Transfer,24458,Night,Laptop,1
41,Hyderabad,38560,Shopping,90279,Morning,Desktop,0
18,Hyderabad,4318,Transfer,95020,Evening,Laptop,0
61,Chennai,37671,Withdrawal,38038,Afternoon,Desktop,0
25,Mumbai,11772,Payment,6333,Afternoon,Mobile,0
41,Bangalore,31142,Shopping,23886,Evening,Laptop,0
28,Hyderabad,36050,Transfer,99841,Morning,Laptop,1
68,Mumbai,11109,Shopping,72278,Morning,Desktop,0
34,Delhi,47196,Transfer,94740,Morning,Desktop,1
25,Hyderabad,19644,Shopping,25332,Morning,Mobile,0
52,Bangalore,29481,Transfer,78357,Morning,Desktop,0
52,Delhi,25387,Payment,39430,Night,Mobile,0
50,Delhi,2686,Transfer,32907,Afternoon,Laptop,0
22,Bangalore,2748,Withdrawal,4573,Afternoon,Mobile,0
59,Hyderabad,40181,Shopping,18167,Afternoon,Mobile,0
56,Chennai,18201,Shopping,16535,Night,Mobile,0
58,Bangalore,45412,Withdrawal,7232,Evening,Laptop,0
45,Bangalore,21792,Withdrawal,55597,Morning,Laptop,0
24,Bangalore,7507,Payment,3987,Evening,Desktop,0
26,Delhi,17354,Shopping,58202,Morning,Mobile,0
25,Mumbai,15334,Payment,95461,Morning,Laptop,0
29,Chennai,22311,Shopping,85607,Evening,Mobile,0
51,Hyderabad,29580,Shopping,29575,Afternoon,Mobile,0
50,Hyderabad,47880,Payment,71531,Night,Mobile,0
65,Mumbai,24946,Shopping,84717,Evening,Laptop,0
40,Bangalore,42603,Shopping,15281,Afternoon,Mobile,0
41,Chennai,46293,Payment,40365,Morning,Mobile,0
54,Hyderabad,48566,Transfer,8969,Afternoon,Desktop,1
52,Hyderabad,15421,Payment,45667,Morning,Mobile,0
61,Bangalore,12746,Shopping,82238,Morning,Desktop,0
57,Mumbai,22217,Withdrawal,20428,Afternoon,Mobile,0
39,Chennai,4993,Transfer,77021,Morning,Desktop,0
44,Mumbai,9576,Withdrawal,40099,Night,Laptop,1
52,Mumbai,17370,Transfer,17275,Afternoon,Laptop,0
18,Chennai,21802,Withdrawal,67004,Evening,Mobile,0
52,Chennai,4482,Transfer,76418,Morning,Desktop,0
54,Hyderabad,1885,Payment,71187,Morning,Laptop,0
64,Hyderabad,45898,Transfer,27304,Night,Mobile,1
31,Chennai,11835,Transfer,32759,Night,Mobile,0
20,Delhi,30277,Transfer,86784,Evening,Desktop,1
18,Hyderabad,30812,Shopping,85727,Morning,Desktop,0
22,Delhi,16779,Withdrawal,98056,Evening,Mobile,0
43,Chennai,43113,Payment,44060,Evening,Desktop,0
31,Hyderabad,35465,Withdrawal,27756,Morning,Desktop,0
56,Mumbai,17164,Withdrawal,6625,Evening,Laptop,0
44,Chennai,30663,Payment,4870,Evening,Desktop,0
26,Bangalore,33192,Shopping,5338,Night,Mobile,0
32,Delhi,48028,Transfer,57929,Night,Desktop,1
32,Chennai,26967,Shopping,3634,Evening,Mobile,0
43,Chennai,45482,Shopping,43699,Morning,Mobile,0
59,Hyderabad,33854,Transfer,77592,Night,Desktop,1
30,Hyderabad,19602,Withdrawal,34322,Evening,Desktop,0
68,Hyderabad,860,Transfer,94013,Afternoon,Desktop,0
49,Bangalore,24242,Payment,20613,Afternoon,Laptop,0
